price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,month,weekday
313000.0,3,2,1340.0,7683.5,1,no,No view,Average,1340,0,1955,2005,18810 Densmore Ave N,Shoreline,WA 98133,May,Friday
461000.0,5,3,3650.0,7683.5,2,no,Excellent view,Excellent,3370,280,1921,0,709 W Blaine St,Seattle,WA 98119,May,Friday
342000.0,3,2,1930.0,7683.5,1,no,No view,Good,1930,0,1966,0,26206-26214 143rd Ave SE,Kent,WA 98042,May,Friday
420000.0,3,3,2000.0,7683.5,1,no,No view,Good,1000,1000,1963,0,857 170th Pl NE,Bellevue,WA 98008,May,Friday
550000.0,4,3,1940.0,7683.5,1,no,No view,Good,1140,800,1976,1992,9105 170th Ave NE,Redmond,WA 98052,May,Friday
490000.0,2,1,880.0,7683.5,1,no,No view,Average,880,0,1938,1994,522 NE 88th St,Seattle,WA 98115,May,Friday
335000.0,2,2,1350.0,7683.5,1,no,No view,Average,1350,0,1976,0,2616 174th Ave NE,Redmond,WA 98052,May,Friday
482000.0,4,3,2710.0,7683.5,2,no,No view,Average,2710,0,1989,0,23762 SE 253rd Pl,Maple Valley,WA 98038,May,Friday
461000.0,3,3,2430.0,7683.5,1,no,No view,Good,1570,860,1985,0,46611-46625 SE 129th St,North Bend,WA 98045,May,Friday
640000.0,4,2,1520.0,7683.5,1,no,No view,Average,1520,0,1945,2010,6811 55th Ave NE,Seattle,WA 98115,May,Friday
463000.0,3,2,1710.0,7683.5,1,no,No view,Average,1710,0,1948,1994,Burke-Gilman Trail,Seattle,WA 98155,May,Friday
461000.0,4,3,2920.0,7683.5,1,no,No view,Excellent,1910,1010,1909,1988,3838-4098 44th Ave NE,Seattle,WA 98105,May,Friday
588500.0,3,2,2330.0,7683.5,1,no,No view,Average,1970,360,1980,0,1833 220th Pl NE,Seattle,WA 98074,May,Friday
365000.0,3,1,1090.0,7683.5,1,no,No view,Good,1090,0,1955,2009,2504 SW Portland Ct,Seattle,WA 98106,May,Friday
461000.0,5,3,2910.0,9480.0,1,no,No view,Average,2910,0,1939,1969,3534 46th Ave NE,Seattle,WA 98105,May,Friday
242500.0,3,2,1200.0,9720.0,1,no,No view,Good,1200,0,1965,0,14034 SE 201st St,Seattle,WA 98042,May,Friday
419000.0,3,2,1570.0,6700.0,1,no,No view,Good,1570,0,1956,0,15424 SE 9th St,Seattle,WA 98007,May,Friday
367500.0,4,3,3110.0,7231.0,2,no,No view,Average,3110,0,1997,0,11224 SE 306th Pl,Seattle,WA 98092,May,Friday
257950.0,3,2,1370.0,7684.0,1,no,No view,Average,1370,0,1987,2000,1605 S 245th Pl,Seattle,WA 98198,May,Friday
275000.0,3,2,1180.0,10277.0,1,no,No view,Average,1180,0,1983,2009,12425 415th Ave SE,Seattle,WA 98045,May,Friday
750000.0,3,2,2240.0,10578.0,2,no,No view,Excellent,1550,690,1923,0,3225 NE 92nd St,Seattle,WA 98115,May,Friday
20000.0,4,1,1450.0,8800.0,1,no,No view,Good,1450,0,1954,1979,3922 154th Ave SE,Seattle,WA 98006,May,Friday
